product,category,sales,month
Cap,Fashion,1481,Mar
Monitor,Electronics,1305,Aug
Printer,Electronics,1700,Jan
Sweater,Fashion,1699,Jan
Headphones,Electronics,559,Aug
T-shirt,Fashion,569,Sep
Tablet,Electronics,1544,Dec
Jacket,Fashion,1782,Nov
Monitor,Electronics,483,Nov
Jacket,Fashion,1554,Mar
Backpack,Fashion,181,Nov
Cap,Fashion,1103,Dec
Laptop,Electronics,1490,Oct
Phone,Electronics,241,Feb
T-shirt,Fashion,226,Aug
Laptop,Electronics,550,Feb
T-shirt,Fashion,481,Nov
Shoes,Fashion,1390,Jul
Jeans,Fashion,657,Feb
Watch,Fashion,438,Nov
Smartwatch,Electronics,1737,Jul
Shoes,Fashion,1259,Jul
Sweater,Fashion,405,Aug
Sweater,Fashion,1144,Aug
Belt,Fashion,1261,Jun
Smartwatch,Electronics,367,Apr
T-shirt,Fashion,515,Jan
Laptop,Electronics,597,Apr
Monitor,Electronics,1805,Dec
Monitor,Electronics,508,Nov
Headphones,Electronics,877,Apr
Watch,Fashion,873,Aug
Smartwatch,Electronics,1238,Jul
Mouse,Electronics,1760,Mar
Laptop,Electronics,183,Apr
Phone,Electronics,359,Sep
Tablet,Electronics,447,May
Mouse,Electronics,1622,Oct
Shoes,Fashion,1318,Dec
Jacket,Fashion,1218,Oct
Sunglasses,Fashion,1938,Dec
Keyboard,Electronics,561,Feb
Cap,Fashion,607,Mar
Watch,Fashion,298,Apr
Belt,Fashion,1820,Jan
Tablet,Electronics,464,Sep
Cap,Fashion,894,Apr
Monitor,Electronics,765,Aug
Laptop,Electronics,1493,Jul
Phone,Electronics,113,Nov
Camera,Electronics,733,Jun
Smartwatch,Electronics,1024,Jun
Sweater,Fashion,1028,Feb
Keyboard,Electronics,1772,Jul
Jeans,Fashion,1828,Jul
Keyboard,Electronics,857,Jun
Watch,Fashion,329,Feb
Laptop,Electronics,1565,Dec
Tablet,Electronics,1643,Sep
Camera,Electronics,743,Oct
Keyboard,Electronics,1466,May
Phone,Electronics,739,Jan
Sunglasses,Fashion,1403,Jul
Printer,Electronics,1692,Sep
Cap,Fashion,437,Feb
Phone,Electronics,1756,Jan
Printer,Electronics,1737,Aug
Jacket,Fashion,211,Nov
Shoes,Fashion,1102,Nov
Phone,Electronics,158,Oct
Sweater,Fashion,1134,Aug
Headphones,Electronics,1671,Aug
Tablet,Electronics,261,Aug
Belt,Fashion,1487,Oct
Cap,Fashion,499,Jan
Watch,Fashion,1667,Jan
Monitor,Electronics,965,Jan
Sunglasses,Fashion,1562,Aug
Headphones,Electronics,196,Apr
Shoes,Fashion,598,Nov
Backpack,Fashion,516,Oct
Watch,Fashion,351,Apr
Monitor,Electronics,1516,Nov
Belt,Fashion,1033,Oct
Jacket,Fashion,659,Apr
Printer,Electronics,769,Jan
Mouse,Electronics,718,Jan
Laptop,Electronics,1186,Apr
Shoes,Fashion,158,May
Laptop,Electronics,1155,Mar
Backpack,Fashion,542,Apr
Jeans,Fashion,1205,Jul
Watch,Fashion,841,Mar
Jeans,Fashion,590,Oct
Camera,Electronics,709,Nov
Sweater,Fashion,454,Sep
T-shirt,Fashion,661,Jan
Tablet,Electronics,1807,Jul
Jacket,Fashion,746,Nov
Cap,Fashion,1481,Aug
Watch,Fashion,748,Nov
Camera,Electronics,1993,Mar
Shoes,Fashion,1362,Oct
Jeans,Fashion,1640,Sep
Backpack,Fashion,1132,Jan
Jacket,Fashion,1973,Aug
Tablet,Electronics,1752,Mar
Camera,Electronics,1813,Jul
Keyboard,Electronics,771,Dec
Phone,Electronics,1608,Jan
Cap,Fashion,1549,Sep
Jeans,Fashion,156,Dec
Watch,Fashion,1550,Mar
Phone,Electronics,897,Aug
Mouse,Electronics,1604,Jul
Jeans,Fashion,1468,Jul
Mouse,Electronics,1347,Jul
Printer,Electronics,1942,Jan
Phone,Electronics,579,May
Sunglasses,Fashion,846,Mar
Printer,Electronics,1055,Apr
Sunglasses,Fashion,1262,Jul
Jacket,Fashion,1068,Jun
Shoes,Fashion,819,Oct
Tablet,Electronics,423,Jul
Mouse,Electronics,1755,Apr
T-shirt,Fashion,795,May
Backpack,Fashion,970,Jul
Sunglasses,Fashion,819,Jul
Sweater,Fashion,519,Dec
Shoes,Fashion,1754,Sep
Headphones,Electronics,132,Dec
Sweater,Fashion,307,Jan
Sweater,Fashion,430,Jan
Belt,Fashion,244,Oct
Jeans,Fashion,452,Feb
Phone,Electronics,1338,May
Keyboard,Electronics,1789,Jan
Watch,Fashion,775,Dec
Printer,Electronics,1451,Jul
Laptop,Electronics,1779,Oct
Shoes,Fashion,1802,May
Laptop,Electronics,1986,Mar
Keyboard,Electronics,1673,Apr
Phone,Electronics,1089,Jun
Sunglasses,Fashion,138,Jul
Belt,Fashion,304,Sep
T-shirt,Fashion,1436,Aug
Printer,Electronics,157,May
Headphones,Electronics,1016,Nov
